Pot,Cur
-0.01413,35.55980184
-0.00894,37.38004246
-0.00384,38.98655343
0.00133,40.12031139
0.00635,41.19745223
0.01138,41.83297948
0.01633,42.27459306
0.02156,42.46142958
0.02672,42.7841472
0.0315,42.86765747
0.03642,42.58174098
0.04153,42.22929936
0.04654,41.92073602
0.05141,41.60651097
0.05638,40.95399858
0.06142,40.37791932
0.06634,39.7636235
0.07133,39.07147912
0.07623,38.3368719
0.08117,37.49893843
0.0862,36.78131635
0.09139,35.93913659
0.09636,35.15923567
0.10147,34.38358103
0.10641,33.60651097
0.1112,32.8846426
0.11619,32.09624912
0.12126,31.44090587
0.1261,30.8393489
0.13105,30.21231423
0.13604,29.59518754
0.14119,29.11111111
0.14586,28.60014154
0.1509,28.12172682
0.15596,27.66029724
0.16094,27.21443737
0.16587,26.84076433
0.17106,26.41896674
0.17597,26.08492569
0.18098,25.76786978
0.18596,25.38428875
0.191,25.10120311
0.19601,24.81104034
0.20093,24.55060156
0.20597,24.24486907
0.21114,24.01981599
0.21588,23.75513093
0.22115,23.50460014
0.2262,23.28803963
0.23128,23.04883227
0.23616,22.83368719
0.24108,22.61995754
0.24611,22.47275301
0.25123,22.24486907
0.25627,22.09624912
0.26114,21.95046001
0.26604,21.7636235
0.2711,21.57254069
0.27605,21.47346072
0.2811,21.33757962
0.28623,21.14649682
0.29116,20.97664544
0.29631,20.88888889
0.30139,20.79263977
0.3062,20.71479122
0.3113,20.57749469
0.3163,20.50389243
0.32102,20.42462845
0.32633,20.3113942
0.33113,20.3368719
0.33617,20.26326964
0.34117,20.18825195
0.34595,20.19391366
0.35102,20.12738854
0.35589,20.18966737
0.36077,20.17551309
0.36591,20.15003539
0.3708,20.23213022
0.37565,20.20665251
0.38067,20.28450106
0.38594,20.3368719
0.39082,20.43170559
0.38974,19.07147912
0.3847,18.39773531
0.37971,17.98301486
0.37486,17.63481953
0.36978,17.40835103
0.3648,17.10403397
0.35983,16.86058033
0.35479,16.70912951
0.34989,16.52370842
0.3449,16.32413305
0.33978,16.20665251
0.33511,16.06794055
0.33012,15.89101203
0.32504,15.76786978
0.32005,15.62915782
0.31515,15.53432413
0.31001,15.42250531
0.30511,15.31917905
0.30011,15.22009908
0.29516,15.17055909
0.29005,15.01769285
0.28499,14.99787686
0.28002,14.86907289
0.27501,14.77423921
0.26984,14.71196037
0.26498,14.62561925
0.26001,14.56334041
0.25496,14.47699929
0.24988,14.44161359
0.24489,14.39773531
0.24013,14.27600849
0.23492,14.22788393
0.22996,14.14564756
0.22499,14.07176221
0.21985,14.03283793
0.21489,13.97084218
0.20962,13.85548478
0.2048,13.83170559
0.19976,13.73828733
0.19481,13.70898797
0.18973,13.61146497
